"BehaviorSpace results (NetLogo 6.2.0)"
"code (4).nlogo"
"WaitingTime"
"01/28/2021 15:45:31:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","distancing?","spread-decease?","threshold-attendance","numberOfPeople","max-patience","r-distance","[step]","waitingTime"
"3","true","false","6","121","50","1.5","53","76"
"6","true","false","6","121","100","1.5","68","0"
"1","true","false","6","121","50","1.5","53","77"
"2","true","false","6","121","50","1.5","53","43"
"5","true","false","6","121","100","1.5","62","0"
"4","true","false","6","121","100","1.5","73","0"
"6","true","false","6","121","100","1.5","69","0"
"3","true","false","6","121","50","1.5","54","76"
"4","true","false","6","121","100","1.5","74","0"
"5","true","false","6","121","100","1.5","63","0"
"2","true","false","6","121","50","1.5","54","45"
"6","true","false","6","121","100","1.5","70","0"
"1","true","false","6","121","50","1.5","54","77"
"6","true","false","6","121","100","1.5","71","0"
"3","true","false","6","121","50","1.5","55","76"
"4","true","false","6","121","100","1.5","75","0"
"5","true","false","6","121","100","1.5","64","0"
"1","true","false","6","121","50","1.5","55","77"
"6","true","false","6","121","100","1.5","72","0"
"2","true","false","6","121","50","1.5","55","46"
"5","true","false","6","121","100","1.5","65","0"
"4","true","false","6","121","100","1.5","76","0"
"6","true","false","6","121","100","1.5","73","0"
"1","true","false","6","121","50","1.5","56","77"
"3","true","false","6","121","50","1.5","56","76"
"2","true","false","6","121","50","1.5","56","46"
"5","true","false","6","121","100","1.5","66","0"
"6","true","false","6","121","100","1.5","74","0"
"2","true","false","6","121","50","1.5","57","46"
"5","true","false","6","121","100","1.5","67","0"
"6","true","false","6","121","100","1.5","75","0"
"1","true","false","6","121","50","1.5","57","77"
"3","true","false","6","121","50","1.5","57","76"
"4","true","false","6","121","100","1.5","77","0"
"6","true","false","6","121","100","1.5","76","0"
"5","true","false","6","121","100","1.5","68","0"
"2","true","false","6","121","50","1.5","58","46"
"3","true","false","6","121","50","1.5","58","76"
"5","true","false","6","121","100","1.5","69","0"
"4","true","false","6","121","100","1.5","78","0"
"6","true","false","6","121","100","1.5","77","0"
"1","true","false","6","121","50","1.5","58","77"
"3","true","false","6","121","50","1.5","59","76"
"2","true","false","6","121","50","1.5","59","46"
"5","true","false","6","121","100","1.5","70","0"
"6","true","false","6","121","100","1.5","78","0"
"3","true","false","6","121","50","1.5","60","76"
"2","true","false","6","121","50","1.5","60","55"
"4","true","false","6","121","100","1.5","79","0"
"5","true","false","6","121","100","1.5","71","0"
"1","true","false","6","121","50","1.5","59","77"
"6","true","false","6","121","100","1.5","79","0"
"5","true","false","6","121","100","1.5","72","0"
"4","true","false","6","121","100","1.5","80","0"
"2","true","false","6","121","50","1.5","61","56"
"6","true","false","6","121","100","1.5","80","0"
"1","true","false","6","121","50","1.5","60","77"
"3","true","false","6","121","50","1.5","61","76"
"5","true","false","6","121","100","1.5","73","0"
"6","true","false","6","121","100","1.5","81","0"
"2","true","false","6","121","50","1.5","62","57"
"4","true","false","6","121","100","1.5","81","0"
"5","true","false","6","121","100","1.5","74","0"
"3","true","false","6","121","50","1.5","62","76"
"6","true","false","6","121","100","1.5","82","0"
"1","true","false","6","121","50","1.5","61","77"
"5","true","false","6","121","100","1.5","75","0"
"2","true","false","6","121","50","1.5","63","57"
"6","true","false","6","121","100","1.5","83","0"
"4","true","false","6","121","100","1.5","82","0"
"3","true","false","6","121","50","1.5","63","76"
"5","true","false","6","121","100","1.5","76","0"
"6","true","false","6","121","100","1.5","84","0"
"1","true","false","6","121","50","1.5","62","77"
"2","true","false","6","121","50","1.5","64","57"
"4","true","false","6","121","100","1.5","83","0"
"5","true","false","6","121","100","1.5","77","0"
"6","true","false","6","121","100","1.5","85","0"
"3","true","false","6","121","50","1.5","64","76"
"2","true","false","6","121","50","1.5","65","57"
"5","true","false","6","121","100","1.5","78","0"
"6","true","false","6","121","100","1.5","86","0"
"1","true","false","6","121","50","1.5","63","77"
"4","true","false","6","121","100","1.5","84","0"
"3","true","false","6","121","50","1.5","65","76"
"5","true","false","6","121","100","1.5","79","0"
"6","true","false","6","121","100","1.5","87","0"
"2","true","false","6","121","50","1.5","66","57"
"6","true","false","6","121","100","1.5","88","0"
"4","true","false","6","121","100","1.5","85","0"
"5","true","false","6","121","100","1.5","80","0"
"1","true","false","6","121","50","1.5","64","77"
"6","true","false","6","121","100","1.5","89","0"
"2","true","false","6","121","50","1.5","67","57"
"3","true","false","6","121","50","1.5","66","76"
"5","true","false","6","121","100","1.5","81","0"
"6","true","false","6","121","100","1.5","90","0"
"2","true","false","6","121","50","1.5","68","57"
"5","true","false","6","121","100","1.5","82","0"
"1","true","false","6","121","50","1.5","65","77"
"3","true","false","6","121","50","1.5","67","76"
"6","true","false","6","121","100","1.5","91","0"
"2","true","false","6","121","50","1.5","69","57"
"5","true","false","6","121","100","1.5","83","0"
"6","true","false","6","121","100","1.5","92","0"
"1","true","false","6","121","50","1.5","66","77"
"3","true","false","6","121","50","1.5","68","76"
"2","true","false","6","121","50","1.5","70","57"
"5","true","false","6","121","100","1.5","84","0"
"6","true","false","6","121","100","1.5","93","0"
"3","true","false","6","121","50","1.5","69","76"
"2","true","false","6","121","50","1.5","71","57"
"4","true","false","6","121","100","1.5","86","0"
"1","true","false","6","121","50","1.5","67","77"
"5","true","false","6","121","100","1.5","85","0"
"6","true","false","6","121","100","1.5","94","0"
"3","true","false","6","121","50","1.5","70","76"
"2","true","false","6","121","50","1.5","72","57"
"1","true","false","6","121","50","1.5","68","77"
"2","true","false","6","121","50","1.5","73","57"
"6","true","false","6","121","100","1.5","95","0"
"5","true","false","6","121","100","1.5","86","0"
"4","true","false","6","121","100","1.5","87","0"
"3","true","false","6","121","50","1.5","71","76"
"2","true","false","6","121","50","1.5","74","57"
"5","true","false","6","121","100","1.5","87","0"
"1","true","false","6","121","50","1.5","69","77"
"4","true","false","6","121","100","1.5","88","0"
"6","true","false","6","121","100","1.5","96","0"
"5","true","false","6","121","100","1.5","88","0"
"3","true","false","6","121","50","1.5","72","76"
"2","true","false","6","121","50","1.5","75","57"
"1","true","false","6","121","50","1.5","70","77"
"5","true","false","6","121","100","1.5","89","0"
"4","true","false","6","121","100","1.5","89","0"
"2","true","false","6","121","50","1.5","76","57"
"3","true","false","6","121","50","1.5","73","76"
